Season,3PM,3PA,3P_percent,ThreePointShare,PTS_per_game,Pace
1996-97,6.044828,16.7931,35.96207,18.73551724,96.9,90.1
1997-98,4.403448276,12.71379,34.37931,13.87586207,95.6,90.3
1998-99,4.455172,13.16552,33.61724,14.54689655,91.6,88.9
1999-00,4.837931,13.71724,35.28966,14.85172,97.5,93.1
2000-01,4.841379,13.7069,35.18276,15.277241,94.8,91.3
2001-02,5.213793,14.75517,35.17586,16.32759,95.5,90.7
2002-03,5.134483,14.67586,34.66207,16.14483,95.1,91.0
2003-04,5.182759,14.92069,34.55517,16.62759,93.4,90.1
2004-05,5.6,15.75,35.31667,17.22026,97.2,90.9
2005-06,5.726667,15.98333,35.68667,17.63767,97.0,90.5
2006-07,6.07,16.94,34.904534444444444,18.37033,98.7,91.9
2007-08,6.563333,18.10667,36.02333,19.63233,99.9,92.4
2008-09,6.653333,18.13333,36.54333,19.94667,100.0,91.7
2009-10,6.44,18.13667,35.27667,19.16533,100.4,92.7
2010-11,6.463333,18.01,35.62667,19.40233,99.6,92.1
2011-12,6.406667,18.38667,34.72333,17.025702632857143,96.3,91.3
2012-13,7.163333,19.96667,35.75667,21.82267,98.1,92.0
2013-14,7.743333,21.53667,35.87767,22.931,101.0,93.9
2014-15,7.9,22.4,34.9,23.5,100.0,93.9
2015-16,8.5,24.1,35.3,24.8,102.7,95.8
2016-17,9.7,27.0,35.7,27.4,105.6,96.4
2017-18,10.5,29.0,36.2,29.6,106.3,97.3
2018-19,11.4,32.0,35.6,30.6,111.2,100.0
2019-20,12.2,34.1,35.8,32.7,111.8,100.3
